Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BTN,1557.806545,1592.411002,1703.992333,1785.496135,1916.385648,2084.306253,2212.276352,2327.337851,2436.783215,2606.043092,2693.31484,2921.496061,3226.980407,3481.336971,3724.519077,4058.126015,4417.201253,5309.211788,5613.847369,5971.368457,6694.249669,7295.853328,7912.144645,7989.689179,8666.455725,9500.650716,10457.24438,11142.47467,11619.55747,12365.51384,11129.30845,
BWA,5467.612876,5892.924283,6033.715283,6135.050242,6335.129819,6757.249497,7110.070257,7653.287071,7599.116655,8270.467468,8452.352765,8502.284578,8997.897967,9435.260581,9775.154595,10344.53343,11323.78141,12326.85119,13067.94811,11909.92073,12863.90135,13729.85927,13091.98012,14168.08218,15702.87275,14639.55843,16638.5205,15948.03202,16609.96253,17096.78778,15471.09481,17603.72675
CAF,634.7379015,636.3073442,592.3860605,591.1003606,615.3525405,655.1740214,623.9154768,651.7249354,673.5474042,691.2139102,673.6745705,703.8321637,725.0467407,685.2024986,730.9544873,745.9359805,790.0486965,832.6248343,850.7522583,915.9572943,959.0262229,1012.657401,1102.027526,738.4748923,720.3241096,787.0129065,851.0726713,912.8030453,955.402049,985.9877166,989.2187437,1020.533165
CAN,,,,,,,,25258.86056,26319.67416,27841.35335,29362.08416,30230.80297,30963.053,32349.94366,33925.70673,36327.22865,38119.4132,39575.30975,40376.30688,38865.41346,40099.44824,41666.70763,42290.96541,44298.57873,45753.75055,44670.08054,46472.34025,48317.17458,49992.76228,49299.21177,46572.13743,52085.03569
CEB,7094.256944,6648.327594,6689.528564,6958.118735,7397.447986,7992.529655,8400.81054,8707.256364,9098.086125,9397.320293,10015.35791,10798.70326,11630.41384,12340.05396,13483.01704,14312.21883,15920.66829,17758.28305,19671.02634,19698.25435,20809.06655,22187.39113,22975.52435,23964.15015,24984.3613,26140.06399,27874.98508,29901.29603,31928.91264,33774.73529,33757.42073,36908.33993
CHE,28470.35894,28801.3749,29121.99213,29504.79707,30275.19147,30851.80041,31534.09607,32771.05937,33905.12738,34818.07604,36772.69462,37896.69696,38814.37174,38840.88188,40336.40896,41749.21645,46502.92827,51208.09883,54096.80786,53354.00464,54858.44808,57987.50203,59933.59868,62225.08727,64103.01045,66020.20434,68105.15498,69103.57026,71660.20684,72033.92944,71745.2994,77324.08811
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,4504.013872,4944.68131,5613.856122,6109.735023,6558.426098,7340.248875,8053.765189,8702.547111,9027.599372,9010.253799,9585.722434,10037.66594,10402.53252,10963.79063,11794.6294,12679.22581,15657.47765,16840.32704,16504.09786,16068.03767,18042.79037,20259.72939,21512.00442,22346.99046,22687.25157,22566.17765,23330.77111,24411.54477,25526.70552,25322.71106,25089.0313,29104.05809
CHN,981.4192074,1093.566229,1262.025483,1454.491592,1660.34688,1860.525063,2060.8681,2266.728838,2448.482291,2650.178686,2917.24253,3208.229957,3532.081651,3938.730274,4427.131003,5056.404724,5842.778636,6818.923409,7581.453513,8305.760185,9254.779603,10292.94048,11168.6973,11872.49738,12480.33853,12897.50229,13483.37727,14243.53261,15495.54842,16652.0988,17189.28179,19338.23408
CIV,2752.940681,2746.434914,2703.731021,2666.906444,2653.230635,2807.003508,2981.617851,3223.359814,3298.619944,3290.594878,3270.109033,3194.420665,3086.305645,2935.774124,3046.4005,3106.834523,3222.573016,3273.45095,3418.352857,3483.632116,3680.004276,3470.929834,3558.631068,3867.323876,4319.578655,4652.889619,4726.98074,4830.750515,5153.729184,5432.547727,5465.068781,5939.764136
CMR,1954.41095,1886.255592,1815.355869,1662.485305,1681.886563,1718.908923,1775.742627,1838.963077,1897.365748,1959.168432,2026.520495,2105.466499,2175.463967,2277.651041,2437.147211,2500.885699,2604.266466,2714.922192,2768.571649,2780.590387,2817.106207,2892.448394,2958.692624,3129.858638,3312.540064,3395.628961,3527.165372,3665.117851,3800.52695,3900.822515,3867.203808,4064.466895
COD,881.8012193,804.7169334,708.5047853,603.6469706,571.338899,568.7070074,557.3622192,522.062354,507.5200222,481.2181471,446.5741979,434.8352523,441.4743664,460.935999,489.5590753,519.0927589,545.7309695,576.4523841,603.8637028,604.6920617,633.9826243,668.940881,669.5674426,753.4851681,849.7608186,905.4505994,963.6692722,1059.810762,1111.835806,1144.287321,1141.726007,1218.768128
COG,3471.16725,3575.043815,3650.108048,3598.937648,3378.245025,3486.943942,3599.074492,3534.889004,3602.285734,3457.080242,3695.025444,3811.633593,3935.348782,3931.014813,4053.663991,4365.373792,4700.680548,4356.066676,4560.333453,4958.14901,5350.416019,5428.241535,6335.785752,6069.000985,5931.133916,4639.744518,3839.9616,4234.659883,4022.278572,3987.163642,3689.111729,3616.864508
COL,5006.703246,5177.064388,5402.916314,5717.774581,6064.057156,6394.839618,6528.405693,6750.906635,6751.162385,6451.668319,6682.772332,6839.945273,7012.587473,7322.178185,7808.267187,8328.80498,9045.171873,9793.919597,10188.96021,10256.39082,10732.82234,11604.10228,12018.65128,12727.76493,13307.4245,13265.79726,13812.09606,14171.3205,15044.05534,15673.09435,14868.46982,16893.81718
COM,1585.253799,1505.536878,1623.037288,1662.633326,1563.261493,1608.044772,1572.569115,1619.963209,1615.980047,1627.743485,1799.250459,1836.860068,1863.323648,1894.390622,1936.05453,2005.09626,2071.543185,2093.754228,2165.84337,2196.803923,2252.180101,2337.027619,2511.505979,2636.472976,2716.827525,2709.56254,2863.852044,3032.262133,3146.531646,3188.083106,3147.856597,3284.401492
CPV,1062.38297,1087.110294,1200.442367,1298.345481,1536.980617,1746.385372,1933.860385,2138.805597,2384.853047,2639.061057,3028.752083,3111.435225,3271.386873,3421.431876,3814.772168,4148.084163,4557.069159,5323.349799,5716.726923,5612.334762,5693.173134,5966.848,5818.903059,5792.919833,5748.096238,5994.407103,6322.913234,6643.179892,7028.171433,7474.510419,6376.122279,7028.046846
CRI,5023.828755,5174.305356,5630.679652,6016.224583,6261.705701,6495.754915,6543.749259,6857.640049,7265.098083,7516.884053,7829.5341,8138.158223,8408.069811,8808.564845,9308.634503,9841.74831,10738.608,11774.43106,12404.11324,12216.86731,12865.25967,13545.93177,14321.51837,15005.91936,16067.33077,17090.79658,19075.00447,20347.03477,21319.04399,22632.44207,22243.80196,23387.13223
CSS,6145.436841,6439.522002,6736.093583,7058.170475,7348.57083,7654.088799,8003.990322,8395.103307,8561.77286,9028.139575,9503.814805,9865.324599,10332.2049,11133.12348,11840.31937,12566.16877,13806.47985,14585.74809,14999.20543,14485.4772,14780.50853,15161.34599,15129.46422,15377.39929,15500.95288,15285.77526,15139.71704,15925.39552,16465.8332,16854.74292,15670.60042,17056.80833
CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUW,,,,,,,,,,,21888.34711,23054.70418,23478.24206,23520.55136,23788.37028,24078.37611,24587.775,25369.98538,26091.94833,25950.14215,25953.09685,26278.56532,25284.57674,25034.4605,24495.6341,24221.15367,23953.9408,24599.93783,24771.60079,24657.76263,20681.24471,
